monthly_income,income_stability_months,debt_ratio,savings_months_cover,language_level,housing_stability_months,local_references,employment_type_encoded,ngo_validation_encoded,volatility_of_income,income_growth_trend,asset_index,punctualidad_reportada,consistencia_declarativa,digital_interaction_score,zone_risk_index,vulnerability_score,target_default_flag,target_repayment_behavior
2317.7614,11,0.3408,1.417,1,8,1,1,1,0.3111,-0.0295,0.7501,0.4888,0.6446,0.4716,0.5058,0.3664,0,0.6576
1687.2712,11,0.7175,2.2925,2,56,3,2,1,0.2578,0.0144,0.7148,0.6641,0.6608,0.3988,0.377,0.1093,0,0.6692
2499.4957,28,0.6841,7.4815,2,17,0,1,0,0.326,-0.058,0.7374,0.4728,0.7251,0.4623,0.767,0.1661,1,0.2476
3871.9554,5,0.2815,3.0584,5,54,1,0,0,0.0593,-0.0478,0.4882,0.8255,0.5625,0.543,0.3421,0.3455,0,0.8792
1608.2844,8,0.2064,0.3789,3,6,4,0,1,0.7339,0.027,0.6492,0.5751,0.7654,0.7213,0.2247,0.8349,1,0.6981
1608.2976,14,0.1493,3.1057,3,13,0,0,0,0.1659,0.0291,0.4381,0.4487,0.5325,0.3493,0.6457,0.2854,0,0.6748
3982.2665,46,0.4766,2.7593,1,13,5,2,0,0.2935,0.0184,0.7745,0.8081,0.9579,0.2018,0.7412,0.6809,0,0.8366
2653.7191,28,0.1561,0.5295,1,18,2,0,1,0.5524,-0.0597,0.5326,0.8698,0.805,0.6459,0.3587,0.3955,0,0.8788
1429.7613,17,0.4178,0.7871,4,9,3,2,1,0.3256,0.1175,0.5227,0.2959,0.5095,0.1365,0.4709,0.5415,0,0.8308
2371.5049,10,0.3401,2.4766,5,20,1,0,0,0.3711,0.0286,0.5258,0.7835,0.8624,0.532,0.3975,0.7728,0,0.6901
1434.0977,59,0.1871,0.5446,0,27,2,0,0,0.1909,-0.0059,0.2779,0.7783,0.6907,0.7769,0.7044,0.5832,0,0.7897
1432.4408,15,0.3008,0.4669,5,60,3,1,0,0.2314,0.0042,0.8267,0.6404,0.8846,0.6826,0.3926,0.2507,0,0.8385
2040.5632,8,0.2504,2.4312,2,25,3,1,0,0.2695,-0.0305,0.4369,0.909,0.8321,0.4569,0.2428,0.4207,0,0.8666
694.6165,60,0.1877,4.2505,2,24,2,2,0,0.2534,-0.0431,0.5962,0.7844,0.7798,0.2555,0.6213,0.7335,0,0.8573
763.216,5,0.1563,0.156,1,22,3,2,1,0.4855,0.1236,0.2778,0.5139,0.7719,0.5432,0.7507,0.2671,1,0.7866
1364.927,39,0.3812,1.1808,4,14,2,2,1,0.2153,-0.0424,0.6273,0.4467,0.8459,0.4009,0.7065,0.2836,0,0.9134
1089.6202,16,0.2031,1.8688,3,60,0,2,1,0.3007,-0.0331,0.4286,0.7089,0.5776,0.4304,0.5396,0.4082,0,0.9171
2115.6633,27,0.1883,2.2557,4,34,1,2,0,0.3178,-0.0165,0.1379,0.5289,0.8082,0.6021,0.4744,0.419,0,0.8503
1148.2427,24,0.1923,11.1434,2,35,1,2,0,0.6195,-0.0356,0.7654,0.9227,0.6209,0.1072,0.2943,0.6376,0,0.8736
892.3408,27,0.2804,2.2958,3,38,5,1,0,0.5654,0.0006,0.9862,0.5746,0.7384,0.7334,0.4025,0.5696,1,0.7734
3762.4454,60,0.4907,1.936,1,14,3,0,0,0.6755,-0.0213,0.3067,0.7689,0.8983,0.5923,0.5075,0.4048,0,0.7835
1615.0349,60,0.1859,9.1579,1,27,1,2,1,0.4386,-0.0064,0.6889,0.6498,0.4714,0.8451,0.2127,0.5984,0,0.9444
1870.1316,9,0.27,0.1252,1,21,3,0,0,0.1991,-0.0161,0.2447,0.6531,0.7483,0.652,0.2623,0.6275,1,0.6225
886.8057,23,0.514,0.1547,4,9,2,0,0,0.2394,-0.0116,0.4296,0.9327,0.7123,0.7381,0.5323,0.8276,1,0.4032
1377.2012,2,0.2324,1.6451,3,4,3,0,1,0.4144,-0.0769,0.6897,0.7742,0.8737,0.4294,0.3998,0.7774,0,0.7671
1911.1516,29,0.1509,0.8884,2,29,0,1,0,0.297,-0.0156,0.3681,0.5597,0.6788,0.5176,0.3956,0.9303,1,0.5782
1016.889,34,0.2425,0.2034,2,27,2,0,0,0.2693,-0.0062,0.9235,0.8538,0.7657,0.3958,0.4804,0.4715,1,0.7578
2181.6767,1,0.3662,0.7319,4,21,2,0,0,0.5248,-0.0136,0.4155,0.7308,0.8107,0.0695,0.3286,0.3997,1,0.6657
1339.0031,16,0.1809,2.2439,2,47,1,2,1,0.4374,-0.013,0.1792,0.335,0.6853,0.4526,0.3138,0.4497,0,0.9134
1562.673,27,0.2613,4.2508,5,18,3,2,1,0.2509,0.046,0.3531,0.4616,0.8258,0.0793,0.2966,0.3176,0,1.0
1338.2883,21,0.4327,0.1981,5,40,1,0,0,0.4169,-0.0256,0.8666,0.4863,0.8978,0.4743,0.561,0.4213,0,0.5889
4564.8416,5,0.3472,1.5537,3,4,1,2,1,0.4328,0.0506,0.7161,0.762,0.554,0.2931,0.2051,0.4274,0,0.8913
1795.8817,5,0.039,0.7023,3,20,3,0,1,0.1757,0.1006,0.6188,0.8366,0.7544,0.416,0.3969,0.5905,0,0.9715
1065.4415,14,0.4451,2.2012,3,29,1,2,1,0.4425,-0.0325,0.3443,0.7282,0.8356,0.4098,0.7416,0.3819,0,0.7654
2727.8593,11,0.1514,1.5946,2,60,1,1,1,0.2806,0.0188,0.9347,0.893,0.6165,0.5477,0.7625,0.8238,1,0.8818
981.9871,12,0.1623,5.2267,2,28,2,0,0,0.4914,0.0121,0.4756,0.945,0.714,0.372,0.3255,0.936,0,0.7082
2007.0711,4,0.2943,0.0768,1,4,0,2,0,0.5252,0.0026,0.7724,0.6602,0.7861,0.4994,0.2312,0.765,1,0.2498
678.6903,17,0.3663,1.2699,5,23,4,0,0,0.2658,-0.0808,0.5893,0.8311,0.7758,0.2994,0.2736,0.2911,0,0.9102
930.6721,47,0.6674,0.4283,3,25,4,0,0,0.5202,0.0444,0.1609,0.613,0.6345,0.4368,0.4896,0.5776,1,0.2185
1995.0624,5,0.123,1.5391,0,21,1,0,1,0.3658,-0.0188,0.7892,0.804,0.615,0.4145,0.4546,0.1364,0,0.919
2615.5594,13,0.3304,3.8425,3,21,0,1,0,0.1844,0.0581,0.7634,0.7557,0.5492,0.6237,0.5555,0.5959,0,0.6808
1969.7938,25,0.4036,4.8454,2,18,1,2,0,0.1758,-0.0008,0.3739,0.5425,0.7974,0.215,0.7855,0.4222,0,0.7012
1706.4592,3,0.2317,1.0158,4,8,3,2,0,0.3693,0.0568,0.3789,0.6328,0.9332,0.4063,0.6817,0.5676,0,0.7051
1555.338,17,0.5542,3.3403,2,14,1,1,0,0.5412,0.0257,0.8307,0.5016,0.7831,0.7199,0.2452,0.43,0,0.4461
863.2799,33,0.6513,0.6584,3,41,1,2,0,0.3744,0.0382,0.4911,0.5751,0.6643,0.0689,0.2767,0.3901,1,0.2152
1261.5267,6,0.3365,0.0126,2,22,5,2,0,0.4346,0.0313,0.5675,0.8598,0.7765,0.7491,0.3115,0.2977,0,0.7484
1436.0917,18,0.0892,3.8653,3,16,5,1,0,0.6194,-0.0069,0.2681,0.6498,0.9248,0.65,0.3504,0.2769,0,0.9812
3067.325,32,0.0858,0.2543,2,23,2,0,0,0.255,-0.0181,0.6325,0.7242,0.6482,0.7605,0.2293,0.8519,1,0.8487
2146.9621,60,0.3096,0.0355,2,29,3,1,0,0.5749,0.0225,0.6134,0.9723,0.9373,0.408,0.7035,0.782,0,0.7049
748.806,17,0.3498,0.8733,3,6,2,0,0,0.009,0.0349,0.8404,0.6082,0.9067,0.4566,0.7409,0.5567,1,0.6037
2126.0945,9,0.5088,0.9541,3,34,2,0,1,0.325,-0.0003,0.3583,0.8169,0.6946,0.2449,0.5284,0.4188,0,0.8761
1491.3826,9,0.2895,0.1607,5,28,3,1,1,0.5222,0.0389,0.7114,0.9112,0.6749,0.3124,0.7397,0.6478,0,1.0
1288.893,4,0.2436,3.366,3,5,1,0,0,0.0821,-0.0369,0.511,0.6501,0.8551,0.4886,0.7352,0.5159,0,0.6624
2454.8922,49,0.3143,1.0404,3,42,2,0,1,0.4656,0.0127,0.9175,0.89,0.9589,0.3583,0.3819,0.8973,0,1.0
3027.5221,30,0.2768,1.3464,5,12,3,1,0,0.5714,0.0572,0.3559,0.7869,0.772,0.3231,0.4688,0.919,0,0.7152
2880.2721,5,0.2001,0.6148,4,32,2,0,1,0.3041,0.0127,0.3279,0.8956,0.7716,0.3209,0.3279,0.8743,0,0.9388
1188.4334,8,0.6213,1.4329,3,27,3,1,1,0.3587,-0.0056,0.7259,0.6744,0.7493,0.1116,0.7958,0.7661,1,0.2353
1549.0449,17,0.3128,2.9111,3,37,3,2,0,0.4096,0.0454,0.6642,0.7114,0.6491,0.5166,0.5497,0.1587,0,0.845
2133.7403,33,0.0907,4.7328,5,19,2,0,1,0.3259,0.0789,0.6708,0.8833,0.7922,0.6508,0.6451,0.6785,0,1.0
2944.7304,24,0.2717,7.0487,3,44,4,0,0,0.5536,0.0298,0.5992,0.8796,0.8125,0.3964,0.7737,0.9148,1,0.908
